BIRTHDAY ,CARD ,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,,
March 22,A ♦,3/22,5/13,7/4,8/25,10/16,12/7,1/29,,
March 23,K ♣,3/23,5/14,7/5,8/26,10/17,12/8,1/30,,
March 24,Q ♣,3/24,5/15,7/6,8/27,10/18,12/9,1/31,,
March 25,J ♣,3/25,5/16,7/7,8/28,10/19,12/10,2/1,,
March 26,10 ♣,3/26,5/17,7/8,8/29,10/20,12/11,2/2,,
March 27,9 ♣,3/27,5/18,7/9,8/30,10/21,12/12,2/3,,
March 28,8 ♣,3/28,5/19,7/10,8/31,10/22,12/13,2/4,,
March 29,7 ♣,3/29,5/20,7/11,9/1,10/23,12/14,2/5,,
March 30,6 ♣,3/30,5/21,7/12,9/2,10/24,12/15,2/6,,
March 31,5 ♣,3/31,5/22,7/13,9/3,10/25,12/16,2/7,,
April 1,7 ♠,4/1,5/23,7/14,9/4,10/26,12/17,2/8,,
April 2,6 ♠,4/2,5/24,7/15,9/5,10/27,12/18,2/9,,
April 3,5 ♠,4/3,5/25,7/16,9/6,10/28,12/19,2/10,,
April 4,4 ♠,4/4,5/26,7/17,9/7,10/29,12/20,2/11,,
April 5,3 ♠,4/5,5/27,7/18,9/8,10/30,12/21,2/12,,
April 6,2 ♠,4/6,5/28,7/19,9/9,10/31,12/22,2/13,,
April 7,A ♠,4/7,5/29,7/20,9/10,11/1,12/23,2/14,,
April 8,K ♦,4/8,5/30,7/21,9/11,11/2,12/24,2/15,,
April 9,Q ♦,4/9,5/31,7/22,9/12,11/3,12/25,2/16,,
April 10,J ♦,4/10,6/1,7/23,9/13,11/4,12/26,2/17,,
April 11,10 ♦,4/11,6/2,7/24,9/14,11/5,12/27,2/18,,
April 12,9 ♦,4/12,6/3,7/25,9/15,11/6,12/28,2/19,,
April 13,8 ♦,4/13,6/4,7/26,9/16,11/7,12/29,2/20,,
April 14,7 ♦,4/14,6/5,7/27,9/17,11/8,12/30,2/21,,
April 15,6 ♦,4/15,6/6,7/28,9/18,11/9,1/1,2/22,,
April 16,5 ♦,4/16,6/7,7/29,9/19,11/10,1/2,2/23,,
April 17,4 ♦,4/17,6/8,7/30,9/20,11/11,1/3,2/24,,
April 18,3 ♦,4/18,6/9,7/31,9/21,11/12,1/4,2/25,,
April 19,2 ♦,4/19,6/10,8/1,9/22,11/13,1/5,2/26,,
